iso_code,country,status,budget_used_pct,renewables_share_energy,fossil_share_energy,co2_per_capita,first_emissions_year,latest_year,industrialization_age,overshoot_driver_tag,fair_share_budget_gt,cumulative_co2
PNG,Papua New Guinea,Overshooting (>100%),77640.0433788295,,,0.801,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.25980279147422725,201.711
AGO,Angola,Overshooting (>100%),76865.69149863382,,,0.565,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.9306362644414825,715.34
MRT,Mauritania,Overshooting (>100%),75660.16343358172,,,0.879,1959.0,2023.0,64.0,Overshoot & fossil-locked (low renewables),0.1233713962063288,93.343
DJI,Djibouti,Overshooting (>100%),72128.18245066797,,,0.427,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.02832041416539372,20.427
YEM,Yemen,Overshooting (>100%),69800.11836714535,,,0.255,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.9968937249360396,695.833
STP,Sao Tome and Principe,Overshooting (>100%),69273.6803080482,,,0.72,1951.0,2023.0,72.0,Overshoot & fossil-locked (low renewables),0.005670263197411853,3.928
VUT,Vanuatu,Overshooting (>100%),69188.37218810183,,,0.706,1962.0,2023.0,61.0,Overshoot & fossil-locked (low renewables),0.007869819491050787,5.445
KIR,Kiribati,Overshooting (>100%),68026.47450819658,,,0.521,1961.0,2023.0,62.0,Overshoot & fossil-locked (low renewables),0.003254615230329528,2.214
SEN,Senegal,Overshooting (>100%),63995.28740040621,,,0.658,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.4440608231383553,284.178
SLB,Solomon Islands,Overshooting (>100%),57550.661516357606,,,0.379,1952.0,2023.0,71.0,Overshoot & fossil-locked (low renewables),0.019650512612762315,11.309
PSE,Palestine,Overshooting (>100%),53278.436978301776,,,0.646,1990.0,2023.0,33.0,Overshoot & fossil-locked (low renewables),0.13287176579303708,70.792
ZMB,Zambia,Overshooting (>100%),52318.36918855065,,,0.374,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.5235847451834318,273.931
MMR,Myanmar,Overshooting (>100%),51759.979128747895,,,0.558,1928.0,2023.0,95.0,Overshoot & fossil-locked (low renewables),1.3387524718207175,692.938
KHM,Cambodia,Overshooting (>100%),51643.88697536051,,,1.158,1955.0,2023.0,68.0,Overshoot & fossil-locked (low renewables),0.43328264603080446,223.764
CIV,Cote d'Ivoire,Overshooting (>100%),50102.58686275323,,,0.423,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.7655592735175637,383.565
GHA,Ghana,Overshooting (>100%),48745.16750225811,,,0.581,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.8299735558017279,404.572
BGD,Bangladesh,Overshooting (>100%),45083.2103419534,1.095,98.905,0.662,1946.0,2023.0,77.0,Overshoot & fossil-locked (low renewables),4.263427527500958,1922.09
CMR,Cameroon,Overshooting (>100%),43042.10337346744,,,0.35,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.6969524639563022,299.983
SDN,Sudan,Overshooting (>100%),41010.553066038316,,,0.4,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),1.239239566415081,508.219
KEN,Kenya,Overshooting (>100%),39677.99981060679,,,0.389,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),1.3862316715193022,550.029
LBR,Liberia,Overshooting (>100%),38189.907359529374,,,0.14,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.13493093741988857,51.53
BEN,Benin,Overshooting (>100%),35106.73893267718,,,0.396,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.3466257581866497,121.689
TLS,East Timor,Overshooting (>100%),33635.59913872907,,,0.457,1998.0,2023.0,25.0,Overshoot & fossil-locked (low renewables),0.03400266471493021,11.437
COM,Comoros,Overshooting (>100%),32550.041400608585,,,0.528,1959.0,2023.0,64.0,Overshoot & fossil-locked (low renewables),0.02088783825593807,6.799
TGO,Togo,Overshooting (>100%),32279.62439025443,,,0.282,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.22855284531214612,73.776
HTI,Haiti,Overshooting (>100%),30476.86035267705,,,0.303,1872.0,2023.0,151.0,Overshoot & fossil-locked (low renewables),0.28586277914400493,87.122
NPL,Nepal,Overshooting (>100%),28834.91693915337,,,0.562,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.7294246778786648,210.329
GIN,Guinea,Overshooting (>100%),28471.842231795814,,,0.281,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.35385838113238716,100.75
GMB,Gambia,Overshooting (>100%),25230.366834020497,,,0.264,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.06626934958969695,16.72
MOZ,Mozambique,Overshooting (>100%),23602.150459402044,,,0.239,1927.0,2023.0,96.0,Overshoot & fossil-locked (low renewables),0.8507021440498299,200.784
AFG,Afghanistan,Overshooting (>100%),23258.38603210925,,,0.266,1949.0,2023.0,74.0,Overshoot & fossil-locked (low renewables),1.0183036762440452,236.841
ERI,Eritrea,Overshooting (>100%),21309.994736441404,,,0.179,1939.0,2023.0,84.0,Overshoot & fossil-locked (low renewables),0.08524638426557198,18.166
GNB,Guinea-Bissau,Overshooting (>100%),20883.278064248138,,,0.138,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.05289399473596335,11.046
TZA,Tanzania,Overshooting (>100%),19707.346651261953,,,0.271,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),1.6364100439637281,322.493
SLE,Sierra Leone,Overshooting (>100%),19406.70835166254,,,0.146,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.20782504311992112,40.332
MLI,Mali,Overshooting (>100%),15937.977746302835,,,0.284,1959.0,2023.0,64.0,Overshoot & fossil-locked (low renewables),0.5838695566103838,93.057
BFA,Burkina Faso,Overshooting (>100%),15685.015520287167,,,0.269,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.5656098961792787,88.716
SSD,South Sudan,Overshooting (>100%),14902.186956374524,,,0.138,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.2933797578032561,43.72
MDG,Madagascar,Overshooting (>100%),13973.620362995604,,,0.143,1933.0,2023.0,90.0,Overshoot & fossil-locked (low renewables),0.7851937948060778,109.72
MWI,Malawi,Overshooting (>100%),10780.373603540535,,,0.083,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.5184143152668231,55.887
UGA,Uganda,Overshooting (>100%),10361.932006887757,,,0.115,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),1.195211471351836,123.847
RWA,Rwanda,Overshooting (>100%),9997.081833002125,,,0.11,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.34278002893679743,34.268
TCD,Chad,Overshooting (>100%),9811.650638919175,,,0.159,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.4986316961382284,48.924
ETH,Ethiopia,Overshooting (>100%),9685.173215147901,,,0.118,1941.0,2023.0,82.0,Overshoot & fossil-locked (low renewables),3.1612134672113297,306.169
CAF,Central African Republic,Overshooting (>100%),9573.010343382746,,,0.055,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.12656415866483495,12.116
NER,Niger,Overshooting (>100%),8848.169565436294,,,0.099,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.6425961842108571,56.858
COD,Democratic Republic of Congo,Overshooting (>100%),8577.359441489889,,,0.044,1920.0,2023.0,103.0,Overshoot & fossil-locked (low renewables),2.6842876478545605,230.241
SOM,Somalia,Overshooting (>100%),7643.615825287593,,,0.03,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.4509645799565425,34.47
BDI,Burundi,Overshooting (>100%),4583.817411192933,,,0.052,1950.0,2023.0,73.0,Overshoot & fossil-locked (low renewables),0.33626993872752287,15.414
