Country,ISO,lts_submission,lts_submission_label,lts_document,lts_date,lts_vision,lts_target,lts_target_label,lts_zero,lts_zero_label,lts_m_temp,lts_m_temp_label,lts_m_tt,lts_m_tt_label,lts_m_taryr,lts_m_taryr_label,lts_m_taryr_emi,lts_a_otc,lts_a_otc_label,lts_crbn_rmvl,lts_crbn_rmvl_label,lts_ghg
Tonga,TON,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/TON_LTS_Nov2021.pdf"">Low Emission Development 2021-2050</a>",11/11/2021,"""The Government of Tonga puts forth a long-term low-emission development strategy that aspires to a low emissions Tonga, where all sectors work together to create resilience, autonomy and self-reliance.""",Not Stated,No Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"""While respecting common but differentiated responsibility and respective capabilities, the Kingdom of Tonga will play its part in supporting the reduction of Greenhouse Gas (GHG) emissions in support of the long-term temperature goal of the Paris Agreement.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Target Type Not Applicable in LTS,Target Type Not Applicable in LTS,Target Year Not Applicable in LTS,Target Year Not Applicable in LTS,Not Specified,"""The Government of Tonga puts forth a long-term low-emission development strategy (LT-LEDS) that aspires to: A low emissions Tonga, where all sectors work together to create resilience, autonomy and self-reliance...The Government of Tonga has implemented a variety of adaptation measures to enhance climate resilience and to minimise the adverse impacts of climate change on the community, economy and our everyday lives. The LT-LEDS is no different, with multiple co-benefits for adaptation and resilience identified in the process of developing sectoral pathways.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.00%
Malta,MLT,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/MLT_LTS_Nov2021.pdf"">Malta Low Carbon Development Strategy</a>",11/12/2021,"""The strategy, in combination with other national strategies and plans...will ensure carbon emissions reductions across the main sectors of the Maltese economy, in line with the EU climate neutrality ambition set by the European Green Deal and in line with our Paris Agreement goals.""",Carbon neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Aligning with the EU’s long-term strategy, the LCDS is consistent with Malta’s National Energy & Climate Plan (NECP - 2020), which aims to ensure the achievement of the EU’s 2030 objectives and targets in line with the Paris Agreement commitments.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Carbon neutrality," ""[Climate change] is already happening, and any measures taken now will only reduce and/ or postpone future negative impacts, but are unlikely to completely eliminate them given the global damage done to date. Negative impacts and risks are already occurring and impacting our daily lives and environment. For this reason, it is important that countries also adopt adaptive measures to reduce these impacts. Malta is thus presenting a set of adaptation measures as part of this [LTS], to make sure that the country remains responsive and resilient in the face of environmental changes brought about by [climate change].""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.00%
Colombia,COL,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/COL_LTS_Nov2021.pdf"">E2050 COLOMBIA: Estrategia climática de largo plazo de Colombia E2050 para cumplir con el Acuerdo de París</a>",11/12/2021,"""By 2050 Colombia's ambition is to transform into a climate-resilient economy and society that is carbon neutral and has high adaptive capacity in its territories and sectors.""",Carbon neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""To comply with what is required by science (1.5 to 2 °C), by 2050 Colombia needs to reduce GHG emissions by around 90% compared to 2015 emissions, and balance the remaining 10% with proportional national absorptions (10% ), to achieve a zero net balance between emissions and absorptions of greenhouse gases (equivalent carbon) from the year 2050.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Carbon neutrality,"""For the construction and strengthening of holistic trajectories of socio-ecological climate resilience, a systemic vision and comprehensive actions are required that combine measures to mitigate climate change, with measures to adequately adapt and manage disaster risk. For this reason, in the Colombian case, socio-ecological climate resilience will be built in practice, through achieving and maintaining carbon neutrality, as well as the creation and strengthening of adaptation capacity (adaptability) in all territories and sectors, in such a way that positive transformations are oriented in realities at the national, regional and local levels.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,0.57%
Morocco,MAR,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/MAR_LTS_Dec2021.pdf"">Stratégie Bas Carbone à Long Terme Maroc 2050</a>",12/21/2021,"""Morocco wishes to continue to show climate ambition within the framework of the Paris Agreement, and aims to fully contribute its socio-economic and physical capacities, current and projected, to responding to the climate emergency underlined by the latest IPCC reports, and in particular toward the overall objective of climate neutrality.”",Climate neutrality this century,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""As mentioned before, this first LT-LEDS will be completed by a quantification exercise in order to arrive at a long-term trajectory of Morocco's GHG emissions, in line with the overall objective of the Paris Agreement, and long-term sectoral decarbonization plans.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,This century,Other Target Year in LTS,Carbon neutrality,"""To mitigate these climate vulnerabilities, Morocco has initiated a process to develop [a] National Strategic Adaptation Plan (PNSA) using a highly concerted approach. It has set itself three major objectives: to adequately and urgently strengthen the resilience of the population and territories; increase national high-level political support for adaptation; [and] mobilize international technical and financial support for adaptation.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.18%
Cambodia,KHM,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/KHM_LTS_Dec2021.pdf"">Long-term strategy for Carbon Neutrality (LTS4CN) for Cambodia</a>",12/30/2021,“The LTS4CN outlines a vision of a carbon neutral economy and provides long-term policy direction on how to reduce emissions in the next few decades. The overall goal of the strategy is to describe a pathway towards a country-wide carbon neutral economy by 2050.”,Carbon neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""With reducing emissions to net zero by 2050 critical to meeting the Paris Agreement goal of keeping the global average temperature increase below 1.5°C, Cambodia is committed to leading the way. The LTS4CN is an important starting point in providing guidance on how it can reach carbon neutrality by 2050."" ",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Carbon neutrality,"""By presenting this Long-Term Strategy for Carbon Neutrality (LTS4CN), Cambodia demonstrates her commitment to the Paris Agreement on Climate Change and presents a policy scenario to realize a vision of a carbon neutral and resilient society within the next 30 years."" <br> ""The strategy largely builds on existing commitments of the Royal Government and proposes a trajectory consistent with the Updated Nationally Determined Contribution. It takes into consideration the balance between emissions reductions, economic growth, social justice, and climate resilience.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.16%
Uruguay,URY,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/URY_LTS_Dec2021.pdf"">ESTRATEGIA CLIMÁTICA DE LARGO PLAZO DE PARA UN DESARROLLO BAJO EN EMISIONES DE GASES DE EFECTO INVERNADERO Y RESILIENTE AL CLIMA</a>",12/28/2021,"This document represents a ""Long-Term Strategy for...development with low greenhouse gas emissions, with the aim of increasing the ability to adapt to the adverse effects of climate change and promoting climate resilience in a way that does not compromise the production of food and based on the principle of common responsibilities but differentiated and respective capabilities, including an aspirational goal of CO2 neutrality by 2050.""",Carbon neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""To contribute to the objective of limiting the increase in the global average temperature of the Paris Agreement, Uruguay's Strategy includes an aspirational scenario of CO2 neutrality by 2050 and scenarios of stability in CH4 and N2O emissions, these last two gases being strongly linked to food production.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Carbon neutrality,"""The Government of Uruguay decided to develop and include a section on adaptation, resilience and risk reduction in its ECLP for the following reasons: firstly, because increasing the capacity for adaptation and resilience to climate change and reducing the risks that it entails is a national priority and, therefore, it must be a substantial aspect to integrate in a long-term planning process; secondly, because Uruguay needs to advance in sizing and making explicit the possible and necessary efforts and actions to strengthen adaptation, resilience and reduce the risk of climate change; and thirdly, because Uruguay seeks to contribute to the strengthening of a global governance that registers a political parity and mobilization of financial resources between adaptation and mitigation of climate change, for which it is strategic to direct efforts that contribute to the design of the Global Goal of Adaptation and to the World Balance foreseen in the Paris Agreement. In addition to the reasons indicated, it is understood that the invitation to prepare and present a ECLP in the Paris Agreement enables the possibility of including the topic of adaptation and resilience in this planning exercise.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.07%
Lithuania,LTU,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Lithuanian%20Climate%20Change%20Management%20Agenda%202021%20EN.docx"">Lithuanian Climate Change Management Agenda 2021</a>",11/6/2021,"By 2050, ""Lithuania’s economy is circular and climate neutral. The country’s economic sectors and regions are resilient to the environmental changes brought about by climate change, with modern, resource-efficient, socially responsible and competitive development based on innovative technologies and research, while economic growth is decoupled from resource use.""",Climate neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""In order to achieve the goals of the Paris Agreement and maintain the EU’s international leadership on climate change, Lithuania together with other EU Member States is seeking to increase the ambitions for the next decade and long-term climate and energy policy goals.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Climate neutrality,"Lithuania's ""climate change adaptation policy aims at strengthening adaptive capacity, increasing resilience and reducing vulnerability to the impacts of climate change with a view to contributing to sustainable development, and ensuring adequate adaptation responses.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.05%
Russia,RUS,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Strategy%20of%20Socio-Economic%20Development%20of%20the%20Russian%20Federation%20with%20Low%20GHG%20Emissions%20EN.pdf"">Strategy of socio-economic development of the Russian Federation with low greenhouse gas emissions until 2050</a>",9/5/2022,"""The Strategy...determines the directions and measures for development with low greenhouse gas emissions by 2050.""",80% reduction from 1990 levels by 2050,Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"""The priority of the Strategy is to fulfill the task set in the Message of the President of the Russian Federation to the Federal Assembly of the Russian Federation dated April 21, 2021 to reduce the accumulated volume of net greenhouse gas emissions in the Russian Federation to lower levels compared to the European Union indicators in the period from 2021 to 2050 , which will help keep global average temperature increases well below 2 degrees Celsius above pre-industrial levels and make efforts to limit temperature rise to 1.5 degrees Celsius.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Base Year Target in LTS,Base Year Target in LTS,2050,2050 as Target Year in LTS,630 MtCO2e,"""To implement the target (intensive) scenario of the [LTS], it is necessary to implement the following measures:...adoption of sectoral and regional plans for adaptation to climate change and [the] energy transition.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,3.79%
Gambia,GMB,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Long_Term_Climate_Change_Strategy_of_The_Gambia_Final.pdf"">The Gambia's Long-Term Climate-Neutral Development Strategy 2022</a>",9/22/2022,"""The Gambia has no choice, but to take a modest lead in reducing its greenhouse gas emissions to net-zero by 2050, in order to safeguard the lives and livelihoods of its citizens and also contribute its quota in global efforts to contain climate change.""",Climate neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""In line with the country`s commitment to the Paris Agreement which it signed on 25th April 2016, The Gambia has developed an ambitious plan for achieving net-zero greenhouse gas emissions by 2050 called the Gambia's Long-term Climate Neutral Development Strategy 2050, or LTS for short.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Climate neutrality,"""The mission for the [LTS] is to endeavor to reach net-zero carbon emissions by 2050, with enhanced adaptive capacities and resilience.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.01%
Canada,CAN,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/LTS%20Full%20Draft_Final%20version_oct31.pdf"">Exploring Approaches for Canada’s Transition to Net-Zero Emissions</a>",10/31/2022,"""In response to the scientific evidence on the need to act, as well as the significant economic opportunities a low-carbon economy presents, momentum for increased global climate action continues to build among governments, businesses, and individuals with more and more countries making net-zero emissions commitments to keep global warming below 1.5°C. To play its part, Canada has joined over 130 countries, including all other G7 and G20 nations, and a host of Canadian municipalities, Indigenous communities, and businesses in committing to achieve net-zero emissions by 2050.""",Net-zero emissions by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Actions to date on climate change put Canada on a path to net-zero emissions by 2050 and achieving the goals of the Paris Agreement, while also making Canada’s economy stronger and more competitive.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Climate neutrality,"""While the LTS is focused on climate change mitigation, adaptation is also a key objective under the Paris Agreement. Canada has joined other parties in committing to strengthened cooperation to enhance adaptation efforts, build resilience, and reduce vulnerability to climate change. Ongoing efforts to advance this commitment, underpinned by numerous scientific analyses, include the development of Canada’s first National Adaptation Strategy, which is set to be released in Fall 2022.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,1.54%
Tunisia,TUN,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Strat%C3%A9gie%20de%20d%C3%A9veloppement%20neutre%20en%20carbone%20et%20r%C3%A9silient%20-%20Tunisie.pdf"">Strategy of Carbon Neutral and Resilient Development to Climate Change at the 2050 Horizon</a>",11/1/2022,"""In its SNBC, Tunisia has opted for the ambition to achieve carbon neutrality by 2050. Carbon neutrality can be considered by Tunisia as an opportunity to support the resumption of economic growth and to position itself at the heart of the change of development model, and pillar of Tunisia's recovery at multiple levels. The strategy also lays out a vision for ""a Tunisia that is resilient to climate change, having significantly reduced the vulnerabilities and strengthened the adaptive capacities of its ecosystems, its population, its economy, its territories, and carried out the necessary transformations capable of ensuring an inclusive, equitable and sustainable socio-economic development model...""",Carbon neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Establishing the vision on which the low-carbon transition component of [this LTS] will be based is essential to draw the trajectory that will make it possible to limit global warming to 2°C, or even 1.5°C.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Carbon neutrality,"""The long-term vision of the resilience component of [this LTS] is formulated as follows: A Tunisia that is resilient to climate change, having significantly reduced the vulnerabilities and strengthened the adaptive capacities of its ecosystems, its population, its economy, its territories, and carried out the necessary transformations capable of ensuring an inclusive, equitable and sustainable socio-economic development model...""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.08%
Argentina,ARG,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Estrategia%20de%20desarrollo%20resiliente%20con%20bajas%20emisiones%20a%20largo%20plazo%20a%202050.pdf"">Strategy for Resilient Development with Long-term Low Emissions to 2050</a>",11/6/2022,"""With a view to contributing to sustainable development, building a more equitable, just and supportive society and thus achieving adequate responses to climate change that are compatible with the objectives of the Paris Agreement, the Argentine Republic will undertake efforts to achieve neutrality in GHG emissions by the year 2050.""",Climate neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""The Argentine Republic informs the international community, through the United Nations Framework Convention on Climate Change (UNFCCC), of this first LongTerm Low Emissions Resilient Development Strategy (ELP) to 2050, reinforcing the commitment of Argentina to climate action...[guided by the] objectives of the Paris Agreement...""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Climate neutrality,"Argentina's goals for adaptation and resiliency are outlined in the country's National Plan for Adaptation and Mitigation to Climate Change, a domestic policy plan. ",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.83%
Thailand,THA,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Thailand%20LT-LEDS%20%28Revised%20Version%29_08Nov2022.pdf"">Thailand's Long-term Low Greenhouse Gas Emission Development Strategy (Revised version)</a>",11/7/2022,"""At COP 26, Thailand committed to reach carbon neutrality by 2050 and net zero GHG emissions by 2065. Thailand also pledged to enhance the NDC to reduce GHG emissions by 30-40% in 2030 from the previous target of 20-25%, in order to attain carbon neutrality and net zero goals. This revised Long-term low greenhouse gas emissions development strategy (LT-LEDS) lays out climate policies, priorities, and measures that will navigate Thailand towards low GHG emissions and climate-resilient development.""",Carbon neutrality by 2050 and net-zero emissions by 2065,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Thailand’s carbon neutrality and net zero GHG emission pathway has been developed based on the country’s aspiration to contribute to the global efforts to achieve mid-century carbon neutrality and net zero GHG emission, in line with science and the Paris Agreement...""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050 and 2065,2050 as Target Year in LTS,Carbon neutrality by 2050 and net-zero emissions by 2065,"""As a highly vulnerable developing country, achieving climate resilience is an integral part of Thailand’s climate efforts to achieve the objectives of the UNFCCC and its Paris Agreement...Building adaptive capacity and resilience is a top priority for Thailand to reduce the adverse impacts of climate change on its economy, society and environment.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,0.95%
Zimbabwe,ZWE,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Zimbabwe%20LEDS_08Nov2022.pdf"">Zimbabwe Long-term Low Greenhouse Gas Emission Development Strategy (2020-2050)</a>",11/8/2022,"""...the LEDS explores measures that aim to reduce GHG emissions or increase carbon sequestration in forests and soils while contributing to socio-economic development...The abatement potential [of the outlined mitigation measures] is estimated to be up to 33.2 MtCO2e by 2050, which corresponds to around 50% of BAU GHG emissions in that year.""",50% reduction from BAU by 2050,Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"""The Government of Zimbabwe (GoZ) is committed to taking urgent action to mitigate the causes and adapt to the effects of climate change. As a Party to the United Nations Framework Convention on Climate Change (UNFCCC), the country seeks to contribute to the ambitious goal of limiting temperature rise to 1.5°C above preindustrial levels as agreed under the Paris Agreement (PA).""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Baseline Scenario Target in LTS,Baseline Scenario Target in LTS,2050,2050 as Target Year in LTS,Not Specified,"Zimbabwe ""regards Low Emission Development Strategies (LEDS) as indispensable to sustainable development and has thus developed forward-looking national development plans or strategies that encompass low-emission and climate-resilient economic growth.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.24%
India,IND,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/India_LTLEDS.pdf"">India's Long-Term Low-Carbon Development Strategy</a>",11/14/2022,"""India’s contribution to global warming is minimal. Nevertheless, India is committed to combating climate change, by making development choices that ensure growth and development of the economy along low carbon pathways towards net-zero by 2070.""",Net-zero emissions by 2070,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""India has achieved its pre-2020 voluntary contributions and its policies and actions are acknowledged to be compatible with the 2 degree C warming target of the Paris Agreement. India has consistently made ambitious commitments at the UNFCCC, the key multilateral forum for climate change, and under the Paris Agreement, and has a strong track record of meeting these commitments, despite its minimal responsibility.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2070,Other Target Year in LTS,Climate neutrality,"""Adaptation measures and building resilience to potential climate impacts are necessary to maintain India’s development gains and human development outcomes and sustain its growth and development.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,6.67%
Cyprus,CYP,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/2022_lts_final_cyprus.pdf"">Cyprus’ Long-term low GHG emission development strategy</a>",2/7/2023,“The Government's strategic goal is to participate proportionately in the commitment towards a climate-neutral economy at EU level and to contribute to the European Green Deal promoted by the European Commission”,Climate neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Cyprus’ long-term strategy will contribute to...fulfilling the objective of the Paris Agreement of holding the increase in the global average temperature to well below 2 °C above pre-industrial levels and to pursue efforts to limit the temperature increase to 1,5 °C above pre-industrial levels...This is in accordance with the Union's objective, in the context of necessary reductions according to the Intergovernmental Panel on Climate Change (IPCC) to reduce the Union's greenhouse gas emissions in a cost-effective manner and enhance removals by sinks in pursuit of the temperature goals in the Paris Agreement.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Climate neutrality,Cyprus' corresponding National Adaptation Strategy (NAS) and Action Plan (NAP) outline the country's long-term goals and outcomes for adaptation and resiliency. ,LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.02%
Oman,OMN,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Oman.pdf"">The Sultanate of Oman’s National Strategy for an Orderly Transition to Net Zero</a>",5/2/2023,"""To make the transition smooth and sustainable, Oman has set five objectives for its path [to net zero by 2050]: environmental sustainability, energy system costs, economic impact, social impact and security of supply.""",Net-zero emissions by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Under the leadership of His Majesty Sultan Haitham bin Tarik, Oman has announced its commitment to achieve net zero emissions by 2050, in line with the Paris Climate Agreement’s objective of limiting global climate change to below 1.5 degrees C compared to pre-industrial levels.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero emissions by 2050,A long-term goal for adaptation and resiliency is not included in the submission.,No Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,0.20%
Belize,BLZ,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Belize%20LEDS.pdf"">Low Emissions Development Strategy and Action Plan: Belize</a>",5/3/2023,"""As a member of the High Ambition Coalition, Belize has committed to increasing emissions reduction ambition in an updated NDC and developing a long-term strategy aligned with achieving net zero global emissions by 2050. As Belize updates its NDC, raising country ambition and elaborating a low emission development pathway, the country needs to connect Belize’s 2050 net zero ambitions to the current policies, summarized in the 2021 NDC. The LEDS aims to set out the country’s long term mitigation ambitions. This process, supported by the UNDP, supports the definition of long-term targets for low carbon and carbon neutral development in line with a public commitment to achieve net zero emissions by 2050.""",Net-zero emissions by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Eliminating the majority of gross emission by 2050 is critical to meeting the Paris Agreement goal to keep the global average temperature increase to below 1.5°C. Belize aims to lead the way with this LEDS, setting the tone for ambition in the region...""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero emissions by 2050,"Belize's goals for adaptation and resiliency are outlined in the country's National Climate Change Policy, Strategy and Action Plan, a domestic policy plan.",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.01%
Vanuatu,VUT,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Vanuatu-Low-Emission_v06_RC_LQ_compressed%201.pdf"">Vanuatu Low Emissions Development Strategy</a>",5/17/2023,"""The guiding vision for the LEDS is the following: Reduce emissions across all sectors in a way that supports resilient, sustainable, and equitable growth for its people.""","Sustain net negative emissions, which has already been achieved...Compared with a 2020 baseline of emissions, the LEDS pathway decreases net emissions by 25,000 tonnes of CO2e by 2050.",Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Vanuatu submits this LEDS to the UNFCCC and in doing so, fulfils one of the requests of the Paris Agreement. Article 4/para 191 invites countries to formulate and communicate long-term low GHG emissions development strategies in line with the global goals to limit the temperature to 1.5° C above pre-industrial levels.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Base Year Target in LTS (didn't specify base year),Base Year Target in LTS,2050,2050 as Target Year in LTS,"""Sustain net negative emissions, which has already been achieved""","""The LEDS vision is for resilient, sustainable, and equitable growth for the people of Vanuatu. To deliver this vision in the context of a changing climate requires increased resilience and adaptive capacity for the people of Vanuatu.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.00%
